text,label
Suffolk County Executive Steve Bellone and Dr. Pigott (Suffolk DOH): Let ALL Sports Play!,unclear
Divert military spending to global covid relief!,pro-mitigation
Petition to Congress to Provide Economic Relief to Independent Physicians and Practices,unclear
Closing of school during lockdown,pro-mitigation
COVID support for those who went self-employed in last year,pro-mitigation
CLOSE ALL CAMPUS of University of Toronto to prevent COVID-19 Outbreak,pro-mitigation
Demand UMD Prioritize Students over Profit in Changing COVID-19 Response Policies,unclear
Make COVID Data Transparent at NC State,pro-mitigation
Appeal to the UN to prevent imminent starvation and a humanitarian crisis in Eritrea,unclear
Stop the COVID-19 Madness!,anti-mitigation
Change High School Hockey in New Jersey To a Spring Sport,unclear
"Prisoners sentence to be reduced due to Covid 19 , full lockdown and  no visits .",pro-mitigation
Postpone UCLA's 2020 Commencement Instead of Cancelling,unclear
"Keep YOUR Allied HEALTH Practitioners OPEN!  
Ease the burden OUR medical system may face.",pro-mitigation
7-POINT PUBLIC HEALTH DEMANDS: COVID-19  ACTION STEPS,pro-mitigation
Extend the Government's Paid Parental Leave to pregnant women during the COVID-19 crisis,pro-mitigation
Save California Seniors from a Death Sentence,unclear
"Visayan Electric Co. (VECO), ECQ Overbilling REFUND Now!",unclear
Stop mandatory COVID 19 testing for admission for pregnant women,anti-mitigation
Tests massifs du Covid-19 par PCR et traitement hydroxychloroquine et azithromycine !,unclear
No school or ECE during Alert level 3.,unclear
Ban - Free or Complimentary breakfast & happy hours Nationwide,unclear
Cancellation of Semester End Examination,unclear
Death of NM Small Business,unclear
Extend Free School Meals Into The Summer Holidays,unclear
COVID-19: Award Predicted Grades to A-Level Students (Including Pre-U and IB),unclear
Make Colorado Public Schools Remote This Fall,pro-mitigation
Covid-19: Governor Reynolds please close the IA Schools for the rest of the school year.,pro-mitigation
"Suspend ALL rent, mortgage, and utility payments during the COVID-19 pandemic",pro-mitigation
Allow federal inmates in the bureau of prisons access to tablets during Covid-19 pandemic!,unclear
Declare the Road Accident Fund an Essential Service,unclear
"Urban Outfitters, JCPenney, C&A #PayUp for orders, save lives",unclear
"Let's save the life of Shani Abeysekera, the greatest detective of Sri Lanka",unclear
Crisis Pay: Give Frontline Healthcare Workers The Pay They Deserve,unclear
"Designate Occupational, Physical Therapists and Speech Language Pathologists as frontline",unclear
Keep the Americans from making a movie about how well they handled Covid - 19,unclear
Covid-19: Urgent action plan for the Labour movement!,unclear
Osteopathic Manual Practitioners in Ontario Should Be Considered an Essential Service!,unclear
Stop World Travel and call it finally a pandemic!,pro-mitigation
State of Hawaii to freeze rent and mortgage payments during COVID-19 pandemic.,pro-mitigation
NHS COVID Medal,unclear
"""Withdraw EIA 2020 Draft""",unclear
Hazard Compensation for Shipyard Employees during Covid-19 Pandemic,unclear
Hair Salons Are An Inevitable Business - Make Us Essential!,unclear
#карантинвбеларусь,unclear
UPenn petition to reduce/forgive/rebate spring 2020 tuition due to COVID-19,unclear
"Initiative to combat ""COVID 19"" through Public Awareness",pro-mitigation
Ripartire dopo il COVID-19: Legalizzare la Cannabis per il futuro dell'Italia,unclear
The University of Alberta shouldn't charge full tuition for online classes!,unclear
Call for Action: Defund the Winnipeg Police Service,unclear
Reinstate NCLEX Testing,unclear
STOP hydropower project in Arunachal’s bio-diverse Dibang Valley,unclear
Petition for Pass/Fail Option in Spring 2020 Courses at UTEP,unclear
¡Urgente!,unclear
COVID,unclear
Cancellation of Semester End Exams (Goa University),unclear
Release of non violent prisoners to prevent a dangerous COVID-19 outbreak in prison,pro-mitigation
"Suspension of Rent, Mortgage, & Utility Payments During the Coronavirus Pandemic",pro-mitigation
Optional Pass/Fail for UIUC,unclear
Open up Outdoor Dining,anti-mitigation
Colorado COVID-19 Housing Relief,unclear
Muhyiddin Please Resign / Muhyddin Letak Jawatan,unclear
Keep Davis School District students safe by keeping hybrid schedule.,pro-mitigation
HELP TO SHARE! UTM should conduct classes fully online! - Covid-19,pro-mitigation
Massive COVID-19 testing now!,pro-mitigation
COVID-19 ERADICATION in Australia,pro-mitigation
COVID-19 closing Casinos to contain virus,pro-mitigation
Allow Frontline Healthcare workers to keep their children.,unclear
Make it easier for families to close the accounts of a loved one who dies,unclear
"COVID-19 MAY GET ERADICATED, BUT NOT OUR UNIVERSITIES ATROCITY",unclear
ALDI USA: make COVID-19 raises permanent!,unclear
Stop Murrayfield Ice rink from closing it’s doors for good,unclear
COVID related travel restrictions in Canada,pro-mitigation
Include Sports Academies in Covid-19 Relief Fund. SAVE them from shutting down,unclear
Milwaukee should require masks in public places to protect residents,pro-mitigation
Navajo President Nez: Immediately Allow Diné Relief Efforts During COVID-19 Curfews,pro-mitigation
FIGHT POVERTY BY SUPPORTING DISTRIBUTED RESERVED CRYPTOCURRENCY IN NIGERIA.,unclear
Cancel 2021 GCSE & A-Level Exams,unclear
Rehabilitation of those affected severely by Amphan,unclear
Make Selling dogs illegal unless you are a licensed and accredited breeder,unclear
"Tell Governor Kemp: Shut down Georgia TODAY, Save Lives",pro-mitigation
Lorenzo (USC Off-Campus Student Housing) Rent Waived/Reduced due to COVID-19,unclear
Canadians Demand Interest and Debt Relief from Banks During COVID-19,pro-mitigation
Stop treatment of covid-19 patients in Wolfson Cystic Fibrosis unit,anti-mitigation
Freeze Law Society of Ontario & LAWPRO Fees due to COVID-19,unclear
Protect UNM Graduate Students amid COVID-19,pro-mitigation
"Mandatory Medical Cover, Safety Gear and Job Security For Journalists",pro-mitigation
REQUEST FOR SCHOOL CLOSURE DUE TO HIGH RISK OF COVID 19,pro-mitigation
Close Pinkerton Due To Covid-19,pro-mitigation
Запрет на перекладку плитки в 2020 году в г. Москве,unclear
North Carolina COVID-19 Housing Relief,unclear
CU Denver switching to Pass/Fail Grading in response to COVID 19,pro-mitigation
CLOSE Seattle University campus due to COVID-19 death and new cases,pro-mitigation
Cover COVID-19 treatment in #Aarogyasri Scheme,pro-mitigation
"Governor Gretchen Whitmer: Suspend Rent, Mortgage, & Utility Payments During Pandemic",pro-mitigation
Tell Solano Co. to keep community safe during COVID & send staff home for Teleworking,pro-mitigation
"équipements de protection individuelle minimale, frottis et responsabilité pour lutter!",unclear
Stop EMI Payments During Crisis,unclear
Grant work from home to IT employees around India,pro-mitigation
Open Adult Slowpitch Softball in California,unclear
Delay or start school in stages,pro-mitigation
Save Knaresborough Arts and Crafts centre,unclear
Covid-19 protection for police officers,pro-mitigation
Make the Government fund PPE for Pharmacies,unclear
MAKE GYMS ESSENTIAL,anti-mitigation
SAVE our Hokitika SPCA animal shelter from closure,unclear
Allow dog walking during SA lockdown,anti-mitigation
Release imprisoned journalists worldwide,unclear
Save Grandma from COVID,pro-mitigation
Illinois Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,unclear
Help Sac Library Staff Get Paid During Covid-19 Closures,pro-mitigation
Partial fee refund due to Universities closure in the midst of COVID-19 outbreak,unclear
We want the Ministry of Education to re-consider the decision for school reopening,unclear
"Justice For Mehali Pastrikos, Wade Williams & Miguel Pechay! Sentence Appeal! TF Inquest!",unclear
Government Support for NW Ontario Tourism #savesunsetcountrytourism Before It's Too Late,unclear
Protect Mirrlee's fields from a potential building development of  200 houses.,unclear
Reschedule NCAA Wrestling Tournament,unclear
"Reclassification of Micro Gyms, Pilates, and Yoga Studios in St Louis",unclear
Tax free earnings for all healthcare workers during Covid-19 crisis,pro-mitigation
UAL: Save Our Degree Show!,unclear
Change the theme of Splash Mountain ride in Disney Parks,unclear
Hair Salons to open in Marion County (Indiana) following social distancing rules,pro-mitigation
BPS  Covid Safety Metrics,unclear
Save South Norwood Library,unclear
Return high school sports to Ohio,unclear
Open Capitation Model Funding (FHO) to All Family Physicians in Ontario Urgently!,unclear
Petition to extend mid-semester break of NITJ in light of the COVID-19 outbreak,pro-mitigation
Закрыть высшие учебные заведения Москвы на карантин в связи с пандемией коронавируса,unclear
Open our Garden Centres,unclear
COVID 19 Beauty Industry Economical Impact - Canada,unclear
Covid Death Relief Fund,unclear
"Close all Australian schools, decrease the risk of COVID-19",pro-mitigation
Withdraw the freeze in hike of dearness allowance of central govt employees and pensioners,unclear
We need a Break from online classes and exams!,unclear
Covid-19 Economic Relief for Property Owners,pro-mitigation
Petition for Online Teaching in Nottingham Trent University under COVID-19 Threat,pro-mitigation
"""No detriment"" Policy for UCD",unclear
Salviamo la Repubblica dell’Arte di Frigolandia dall’assurda minaccia di sgombero,unclear
Annastacia Palaszczuk & Jeanette Young to make a national apology to Nathan Turner family,unclear
CHANGE THE AMBULANCE SERVICE STATUS FROM ESSENTIAL TO EMERGENCY AFTER COVID-19,pro-mitigation
Fair treatment for easyJet staff,unclear
Trump must resign for admitting to downplaying COVID-19,unclear
The New School: Aid Students with a Partial Tuition and Housing Refund,unclear
Release or Home Confinement for Federal Prisoners from COVID-19 Coronavirus,pro-mitigation
COVID-19 : Non à la fermeture du Parc Oméga !,unclear
Close School I dont want covid 19,pro-mitigation
Close USF campus due to the COVID-19 (coronavirus),pro-mitigation
Stop Missouri's DESE From Spending CARES Act Funding on a Standardized Test,unclear
Petition to ask Philippines Senator Koko Pimentel to resign.,unclear
Close Douglas County Schools due to COVID-19,pro-mitigation
Close South Coast Plaza Mall - Stop Covid-19,pro-mitigation
Request To Make NOVA Spring 2020 Classes Pass/Fail An Option Due to COVID-19,unclear
"Diabetes to be added in Clinically Extreme Vulnerable ""Shielding"" list for COVID 19",pro-mitigation
"Protect Haida Gwaii, and North and Central Coasts - Restrict Non-Essential Travel Now",pro-mitigation
Free and voluntary COVID-19 testing for front-line Nurses in Ghana once every week.,pro-mitigation
Open House Ban During Covid-19,unclear
URGENT: PROTECT OKLAHOMA'S INMATES FROM COVID-19 BY REDUCING OVERCROWDING,pro-mitigation
ALL colleges TEST OPTIONAL for Fall 2020 applications amid COVID-19 pandemic,unclear
Postpone UPSC CSE Prelims 2020 to August '20 amidst COVID 19 pandemic,pro-mitigation
COVID-19 Awards,pro-mitigation
Cancel the 2020-2021 school year SOLs,pro-mitigation
..,unclear
Protect our nurses!,pro-mitigation
SENSELESS IMPRISONMENT FOR MY MOM.. FIRST TIME OFFENDER NON-VIOLENT CRIME,unclear
COVID-19: Demand immediate release for those incarcerated in Knox County jail,pro-mitigation
"Petition to recall Desmond Elliot from the Lagos House of Assembly, Surulere Constituency",unclear
Texas UIL Spring Sports/Competitions to be completed during the Summer of 2020,anti-mitigation
Prioritize Vaccinating Florida Teachers,pro-mitigation
Save Plum Island Coffee Roasters,anti-mitigation
Suspend Rent & Mortgage in Canada during COVID-19,unclear
Ask the City of Winston-Salem to support in-street dining for downtown resturants!,anti-mitigation
Have Online Classes & Close Physical BMCC campus due to Outbreak of COVID-19,pro-mitigation
Appello per la pace in Etiopia,unclear
Stop Guinea Pig Vaccine Tests In  Africa for Covid 19/ Corona Virus,unclear
Rowan University: Universal Pass System,unclear
Allow Athletic Therapists to treat their patients,anti-mitigation
Allow not COVID related evictions,unclear
#FreeNeko from Navajo County Jail,unclear
ÖZEL OKUL ÖDEMELERİNİNDE İNDİRİM,unclear
Allow Golf courses to open in Ontario,anti-mitigation
Extend Winter Break at UBC,pro-mitigation
Include Preschool Teachers in the Phase 1b vaccine rollout in Kentucky,pro-mitigation
"Justice for Dr. Abhishek Bhayana, youngest frontline covid warrior",pro-mitigation
Petition for Approval to Provide Illinois Early Intervention Services via Telehealth,pro-mitigation
Help animal shelters during COVID-19,unclear
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",unclear
Lower Tuition at Hope College During Covid-19,unclear
School Stays ON !,anti-mitigation
Licensure Extension for TLLP due to COVID-19,pro-mitigation
Cancel rental payment for international student of Australia during COVID-19 crisis,unclear
Provide easily accessible and free COVID-19 testing across India.,pro-mitigation
Community Demands for Lesley University's Covid-19 Response,unclear
Free Jay Regas,unclear
Remove Dr. Wajid Ahmed from his position as Medical Officer of Health for Windsor/Essex,unclear
Hazard Pay For Essential Workers,pro-mitigation
Let our 4 year old Melbourne kinder kids go to their Primary Schools for prep orientation,anti-mitigation
SHUTDOWN BROWARD COUNTY,pro-mitigation
Make the CDC report the number of coronavirus cases per state,pro-mitigation
End Hate Crimes Against Asian Americans,unclear
"Lockdown India Completely Until 31st Mar (At least) - (Buses, Flights, Trains, Shops etc)",pro-mitigation
Cancel the 2020 St Patrick's Day Parades in Ireland to help reduce the spread of COVID-19,pro-mitigation
Keep Yehaa Bob at Port Orleans,unclear
Allow Fall Advantage participants to arrive for the Fall program.,anti-mitigation
"Teachers, Students, and Staff are NOT Expendable",unclear
Change the 2020 Year 12 VCE Exams,unclear
Ban Eating Dogs & Cats in China - Now.,unclear
Covid-19:   Salud a través del ejercicio!,unclear
Call for the Resignation of Los Angeles Mayor Eric Garcetti for BLM Protest Response,unclear
Lower the amount of work given to KHSD students,unclear
Cancel GEBE bills during lockdown,unclear
Suspension of rent payments to students during the Coronavirus pandemic.,unclear
It now time for temples and religious institutions to donate for COVID relief,pro-mitigation
Expedite NBCOT Exam Process,unclear
“TAKE  ACTION AGAINST CORRUPTION NOW”,unclear
Pharmacy Personnel MUST be included in Gov. Wolf's COVID-19 PA Hazard Pay Grant Program!!!,unclear
University students should not have to pay last instalment of rent if they move out,unclear
Recall WI Governor Tony Evers,unclear
Transparency for Missouri beef consumers and producers,unclear
Virginia Covid-19 Mandatory Shelter in Place,pro-mitigation
Open Texas Nursing Homes and Assisted Living Centers,anti-mitigation
Claps don't pay the bills - give all NHS workers a 15% pay rise #NHSPay15,pro-mitigation
Mandate PPE for Dental Hygienists NOW!,pro-mitigation
Carteret County Surf Now,anti-mitigation
"COVID-19 Pass/Fail Grading Initiative for FCPS - Frederick, MD",unclear
Provide Food and Safe Transport to Stranded Migrants during COVID-19 Lockdown,pro-mitigation
Save Newquay Killacourt,unclear
Mandate the collection of disaggregated health data for Canadians during COVID-19,pro-mitigation
Help Georgia Restaurants Survive COVID-19,anti-mitigation
SAVE OUR SMALL BUSINESS COMMUNITY!! Allow restaurants to be able to service outdoor dining,anti-mitigation
UHC refuses to pay equitably for COVID tests,anti-mitigation
UT AUSTIN NEEDS TO CONTACT ALL RESIDENTS AND STAFF WHEN COVID-19 CASES EMERGE,pro-mitigation
Pengurangan uang sekolah selama Home Learning karena dampak ekonomi dari Covid - 19.,unclear
"COVID-19 : Give the 320,000 homeless people in the U​.​K. shelter",pro-mitigation
Review of the constitution of the South African CoVID-19 National Command Council,pro-mitigation
Save Pine Island Club,unclear
Reopen Gyms To Help Combat COVID-19,anti-mitigation
Make COVID-19 Testing Free for Senior Citizens & Subsidised for All #PatientsBeforeProfits,pro-mitigation
We want to feel safe on social media platforms,unclear
Pass/Fail Grading Option at Adelphi University in response to COVID-19,unclear
"Prisoner's in danger of Covid-19. ""Please Help""
#PrisonersLivesMatterToo",pro-mitigation
Arrest Mocha Uson for Publishing False News in her Facebook Page,pro-mitigation
COVID-19: Allow free hospital parking for BC's health care workers.,unclear
REDUCTION IN SCHOOL FEES DURING COVID-19. Schools to run at no profit no loss till then,unclear
UW 2020 Commencement,unclear
Private schools to charge 50% tuition fees for online classes.,unclear
"Plea for $1,000,000 for COVID-19 Frontline Workers Families",pro-mitigation
Lift covid restrictions on Beauty industry!,anti-mitigation
COVID - Suspend School Until We Have Clarity,pro-mitigation
For NHS senior management to protect workers from COVID-19 as a priority,pro-mitigation
Early release for Hector Jimenez via medical parole or clemency due to COVID-19,pro-mitigation
No mandatory Covid-19 vaccine in Canada,anti-mitigation
Cancelling of HITS Events during COVID pandemic,pro-mitigation
Stop the Suppression and Redirection of Covid-19 Data,pro-mitigation
Keep Community Based Adult Services (CBAS) Available in California,anti-mitigation
"Close, Florida, close the beaches, Gov. DeSantis!",pro-mitigation
Nurses must be exempted from paying tax during covid-19.,unclear
Pass all SBISD students for the spring semester,unclear
Please Close Philadelphia Public Schools due to Coronavirus/COVID-19! Safety first!,pro-mitigation
"Support and reward healthcare workers, COVID-19",unclear
Stop UC Davis From Cutting Financial Aid During a Pandemic,unclear
Ban face to face teaching at City of Glasgow College with immediate effect - COVID-19,pro-mitigation
SUPPORT FOR SME WORKING DIRECTORS UNDER JOBS SUPPORT SCHEME (JSS),unclear
COVID-19 Small Business economic hardship,unclear
Reopen The Spotlight Theatre ASAP,anti-mitigation
Remove mandated bulk-billing from COVID-19 telehealth item numbers.,pro-mitigation
Open Up Private Recreational Motorcycle & ATV Areas In NY,anti-mitigation
Stop Covid-19 Related Dismissals at Glasgow Colleges,anti-mitigation
Proposal to Make Alberta's Diploma Examinations Voluntary,pro-mitigation
"ICMR JRF 2020 ,DBT BET JRF 2020 and GATB 2020 got postponed now",pro-mitigation
Stop the RHS Bridgewater from further culling of roe deer at their site,unclear
Joe Biden's Candidacy is Failing - We Demand a Stronger Nominee. Democrats: Act Now.,unclear
Close All Wildlife Trading Markets Globally,unclear
Lift Restrictions for New Brunswickers Travelling to Nova Scotia,anti-mitigation
We Demand Free Internet for ALL Low-Income Families During COVID-19,unclear
A Campaign to Protect Dover Forest!,unclear
Signez la lettre pour le retrait de la proposition de loi sur un ordre des psychologues,unclear
URGENT CALL - Release Julian Assange from Belmarsh NOW!,unclear
Amend order to allow JCPD officers to wear BDU's during PANDEMIC!,pro-mitigation
Play Fair - Let Live Music Live,anti-mitigation
Make Covid duty for final MBBS students voluntary,anti-mitigation
Bring back Division III National Championships,anti-mitigation
Lockdown Pakistan to Prevent COVID-19 Transmission,pro-mitigation
Cancel all further assignments and exams due to instability caused by COVID-19,pro-mitigation
Get Washington county closed because of Covid-19,pro-mitigation
Please help the residents of Guildwood Extendicare during Covid Crisis,unclear
Take back the decision to end the relationship with the Chinese scholars who fund by CSC,unclear
Stop Transport Canada rescinding covid response that allows you to stay in your vehicle,pro-mitigation
Take Action to End Canada's Blood Donation Ban,anti-mitigation
COVID-19：Request For MPCSD to Close Schools for the Safety of our Community and Children,pro-mitigation
"Stop Con Edison from potentially spreading Covid-19 to its workers, and the NYC public!",pro-mitigation
We study in online mode we want online Semester examination for every university students,pro-mitigation
Enforce State and Local COVID-19 Rules in all California State Employee Workplaces,pro-mitigation
We want the Human rights commission to lay charges of racism against Russell Kruger.,unclear
Close CCPS schools to limit spread of coronavirus.,pro-mitigation
Keep X-rays for Chiropractors for the health benefit of future patients.,unclear
Change UAlberta Classes from in person to Online due to COVID-19,pro-mitigation
Animal Charities including Wildlife Rescues deserve government support during Covid-19,unclear
Stop the relocation of a Sexually Violent Predator to Twentynine Palms!,unclear
Cancel Rent Payments in Finland for International Students during Covid-19.,unclear
Demand California Delay Implementing Cuts to Pharmacies During COVID-19 Pandemic,pro-mitigation
Hunts and shoots should not be exempt from 6 person rule + Covid-19 restrictions,pro-mitigation
APPEAL COVID-19/ BEAUTY INDUSTRY,unclear
Mississippi State University students want the option for classes to be Pass/Fail,unclear
Tertiary Students of JA Appeal to Reduce Tuition 15-20% & Refund Miscellaneous/ Late Fees.,unclear
